I1002 23:26:49.292029  101540 start.go:44] Version: 0.0.1
I1002 23:27:24.378513  101540 writer.go:57] Run(): period refresh
I1002 23:27:24.378525  101540 writer.go:67] pollNicStatus()
I1002 23:27:24.378528  101540 utils.go:35] DiscoverSriovDevices
I1002 23:27:24.406190  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:27:24.411664  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:27:54.310195  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:27:54.411980  101540 writer.go:57] Run(): period refresh
I1002 23:27:54.412001  101540 writer.go:67] pollNicStatus()
I1002 23:27:54.412005  101540 utils.go:35] DiscoverSriovDevices
I1002 23:27:54.438899  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:27:54.444582  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:28:24.310416  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:28:24.444682  101540 writer.go:57] Run(): period refresh
I1002 23:28:24.444695  101540 writer.go:67] pollNicStatus()
I1002 23:28:24.444699  101540 utils.go:35] DiscoverSriovDevices
I1002 23:28:24.473704  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:28:24.479151  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:28:54.310602  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:28:54.479254  101540 writer.go:57] Run(): period refresh
I1002 23:28:54.479270  101540 writer.go:67] pollNicStatus()
I1002 23:28:54.479274  101540 utils.go:35] DiscoverSriovDevices
I1002 23:28:54.509349  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:28:54.514262  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:29:24.310877  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:29:24.514444  101540 writer.go:57] Run(): period refresh
I1002 23:29:24.514460  101540 writer.go:67] pollNicStatus()
I1002 23:29:24.514464  101540 utils.go:35] DiscoverSriovDevices
I1002 23:29:24.542971  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:29:24.548575  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:29:54.311146  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:29:54.548760  101540 writer.go:57] Run(): period refresh
I1002 23:29:54.548791  101540 writer.go:67] pollNicStatus()
I1002 23:29:54.548795  101540 utils.go:35] DiscoverSriovDevices
I1002 23:29:54.579062  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:29:54.584319  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:30:24.311291  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:30:24.584500  101540 writer.go:57] Run(): period refresh
I1002 23:30:24.584520  101540 writer.go:67] pollNicStatus()
I1002 23:30:24.584524  101540 utils.go:35] DiscoverSriovDevices
I1002 23:30:24.610653  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:30:24.615949  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:30:54.311470  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:30:54.616138  101540 writer.go:57] Run(): period refresh
I1002 23:30:54.616153  101540 writer.go:67] pollNicStatus()
I1002 23:30:54.616156  101540 utils.go:35] DiscoverSriovDevices
I1002 23:30:54.645147  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:30:54.650665  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:31:24.311609  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:31:24.650785  101540 writer.go:57] Run(): period refresh
I1002 23:31:24.650809  101540 writer.go:67] pollNicStatus()
I1002 23:31:24.650813  101540 utils.go:35] DiscoverSriovDevices
I1002 23:31:24.676343  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:31:24.681200  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:31:54.311702  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:31:54.681305  101540 writer.go:57] Run(): period refresh
I1002 23:31:54.681335  101540 writer.go:67] pollNicStatus()
I1002 23:31:54.681339  101540 utils.go:35] DiscoverSriovDevices
I1002 23:31:54.709073  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:31:54.714501  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:32:24.311900  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:32:24.715379  101540 writer.go:57] Run(): period refresh
I1002 23:32:24.715399  101540 writer.go:67] pollNicStatus()
I1002 23:32:24.715403  101540 utils.go:35] DiscoverSriovDevices
I1002 23:32:24.742742  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:32:24.748093  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:32:54.312197  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:32:54.748230  101540 writer.go:57] Run(): period refresh
I1002 23:32:54.748254  101540 writer.go:67] pollNicStatus()
I1002 23:32:54.748258  101540 utils.go:35] DiscoverSriovDevices
I1002 23:32:54.781193  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:32:54.786210  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:33:24.312486  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:33:24.786363  101540 writer.go:57] Run(): period refresh
I1002 23:33:24.786383  101540 writer.go:67] pollNicStatus()
I1002 23:33:24.786388  101540 utils.go:35] DiscoverSriovDevices
I1002 23:33:24.813830  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:33:24.819739  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:33:54.312742  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:33:54.819886  101540 writer.go:57] Run(): period refresh
I1002 23:33:54.819902  101540 writer.go:67] pollNicStatus()
I1002 23:33:54.819906  101540 utils.go:35] DiscoverSriovDevices
I1002 23:33:54.847130  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:33:54.852629  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:34:24.313023  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:34:24.852765  101540 writer.go:57] Run(): period refresh
I1002 23:34:24.852789  101540 writer.go:67] pollNicStatus()
I1002 23:34:24.852793  101540 utils.go:35] DiscoverSriovDevices
I1002 23:34:24.878647  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:34:24.884065  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:34:54.313181  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:34:54.884197  101540 writer.go:57] Run(): period refresh
I1002 23:34:54.884214  101540 writer.go:67] pollNicStatus()
I1002 23:34:54.884218  101540 utils.go:35] DiscoverSriovDevices
I1002 23:34:54.913735  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:34:54.919457  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:35:24.313343  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:35:24.919596  101540 writer.go:57] Run(): period refresh
I1002 23:35:24.919619  101540 writer.go:67] pollNicStatus()
I1002 23:35:24.919623  101540 utils.go:35] DiscoverSriovDevices
I1002 23:35:24.945379  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:35:24.950629  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:35:54.313413  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:35:54.950937  101540 writer.go:57] Run(): period refresh
I1002 23:35:54.950966  101540 writer.go:67] pollNicStatus()
I1002 23:35:54.950971  101540 utils.go:35] DiscoverSriovDevices
I1002 23:35:54.980355  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:35:54.986063  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:36:24.313678  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:36:24.986352  101540 writer.go:57] Run(): period refresh
I1002 23:36:24.986370  101540 writer.go:67] pollNicStatus()
I1002 23:36:24.986373  101540 utils.go:35] DiscoverSriovDevices
I1002 23:36:25.009792  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:36:25.015631  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:36:54.313803  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:36:55.015756  101540 writer.go:57] Run(): period refresh
I1002 23:36:55.015774  101540 writer.go:67] pollNicStatus()
I1002 23:36:55.015778  101540 utils.go:35] DiscoverSriovDevices
I1002 23:36:55.049566  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:36:55.055064  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:37:24.314013  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:37:25.055263  101540 writer.go:57] Run(): period refresh
I1002 23:37:25.055280  101540 writer.go:67] pollNicStatus()
I1002 23:37:25.055284  101540 utils.go:35] DiscoverSriovDevices
I1002 23:37:25.089801  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:37:25.095419  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:37:54.314161  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:37:55.095545  101540 writer.go:57] Run(): period refresh
I1002 23:37:55.095570  101540 writer.go:67] pollNicStatus()
I1002 23:37:55.095574  101540 utils.go:35] DiscoverSriovDevices
I1002 23:37:55.124507  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:37:55.130064  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:38:24.314347  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:38:25.130191  101540 writer.go:57] Run(): period refresh
I1002 23:38:25.130209  101540 writer.go:67] pollNicStatus()
I1002 23:38:25.130212  101540 utils.go:35] DiscoverSriovDevices
I1002 23:38:25.158079  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:38:25.163005  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:38:54.314517  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:38:55.163227  101540 writer.go:57] Run(): period refresh
I1002 23:38:55.163246  101540 writer.go:67] pollNicStatus()
I1002 23:38:55.163250  101540 utils.go:35] DiscoverSriovDevices
I1002 23:38:55.190840  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:38:55.196679  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:39:24.314634  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:39:25.196926  101540 writer.go:57] Run(): period refresh
I1002 23:39:25.196980  101540 writer.go:67] pollNicStatus()
I1002 23:39:25.196994  101540 utils.go:35] DiscoverSriovDevices
I1002 23:39:25.226038  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:39:25.231679  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:39:54.314744  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:39:55.231960  101540 writer.go:57] Run(): period refresh
I1002 23:39:55.231981  101540 writer.go:67] pollNicStatus()
I1002 23:39:55.231984  101540 utils.go:35] DiscoverSriovDevices
I1002 23:39:55.255146  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:39:55.260916  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:40:24.314947  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:40:25.261019  101540 writer.go:57] Run(): period refresh
I1002 23:40:25.261036  101540 writer.go:67] pollNicStatus()
I1002 23:40:25.261039  101540 utils.go:35] DiscoverSriovDevices
I1002 23:40:25.288736  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:40:25.294261  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:40:54.315156  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:40:55.294371  101540 writer.go:57] Run(): period refresh
I1002 23:40:55.294388  101540 writer.go:67] pollNicStatus()
I1002 23:40:55.294391  101540 utils.go:35] DiscoverSriovDevices
I1002 23:40:55.319037  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:40:55.324082  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:41:24.315567  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:41:25.324219  101540 writer.go:57] Run(): period refresh
I1002 23:41:25.324237  101540 writer.go:67] pollNicStatus()
I1002 23:41:25.324241  101540 utils.go:35] DiscoverSriovDevices
I1002 23:41:25.349227  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:41:25.354779  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:41:54.315739  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:41:55.355013  101540 writer.go:57] Run(): period refresh
I1002 23:41:55.355029  101540 writer.go:67] pollNicStatus()
I1002 23:41:55.355033  101540 utils.go:35] DiscoverSriovDevices
I1002 23:41:55.382417  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:41:55.387958  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:42:24.316086  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:42:25.388190  101540 writer.go:57] Run(): period refresh
I1002 23:42:25.388207  101540 writer.go:67] pollNicStatus()
I1002 23:42:25.388211  101540 utils.go:35] DiscoverSriovDevices
I1002 23:42:25.415602  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:42:25.420863  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:42:54.316229  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:42:55.420997  101540 writer.go:57] Run(): period refresh
I1002 23:42:55.421014  101540 writer.go:67] pollNicStatus()
I1002 23:42:55.421017  101540 utils.go:35] DiscoverSriovDevices
I1002 23:42:55.451872  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:42:55.457129  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:43:24.316632  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:43:25.457293  101540 writer.go:57] Run(): period refresh
I1002 23:43:25.457321  101540 writer.go:67] pollNicStatus()
I1002 23:43:25.457325  101540 utils.go:35] DiscoverSriovDevices
I1002 23:43:25.487983  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:43:25.493509  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:43:54.316929  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:43:55.493830  101540 writer.go:57] Run(): period refresh
I1002 23:43:55.493881  101540 writer.go:67] pollNicStatus()
I1002 23:43:55.493885  101540 utils.go:35] DiscoverSriovDevices
I1002 23:43:55.518778  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:43:55.524303  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:44:24.317285  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:44:25.524578  101540 writer.go:57] Run(): period refresh
I1002 23:44:25.524597  101540 writer.go:67] pollNicStatus()
I1002 23:44:25.524600  101540 utils.go:35] DiscoverSriovDevices
I1002 23:44:25.557719  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:44:25.563257  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:44:54.317482  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:44:55.563547  101540 writer.go:57] Run(): period refresh
I1002 23:44:55.563567  101540 writer.go:67] pollNicStatus()
I1002 23:44:55.563570  101540 utils.go:35] DiscoverSriovDevices
I1002 23:44:55.595332  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:44:55.600606  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:45:24.317673  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:45:25.600878  101540 writer.go:57] Run(): period refresh
I1002 23:45:25.600917  101540 writer.go:67] pollNicStatus()
I1002 23:45:25.600930  101540 utils.go:35] DiscoverSriovDevices
I1002 23:45:25.630594  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:45:25.636537  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:45:54.317924  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:45:55.636742  101540 writer.go:57] Run(): period refresh
I1002 23:45:55.636759  101540 writer.go:67] pollNicStatus()
I1002 23:45:55.636763  101540 utils.go:35] DiscoverSriovDevices
I1002 23:45:55.666187  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:45:55.671601  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:46:24.318120  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:46:25.671822  101540 writer.go:57] Run(): period refresh
I1002 23:46:25.671880  101540 writer.go:67] pollNicStatus()
I1002 23:46:25.671893  101540 utils.go:35] DiscoverSriovDevices
I1002 23:46:25.696864  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:46:25.702796  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:46:54.318716  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:46:55.703026  101540 writer.go:57] Run(): period refresh
I1002 23:46:55.703053  101540 writer.go:67] pollNicStatus()
I1002 23:46:55.703065  101540 utils.go:35] DiscoverSriovDevices
I1002 23:46:55.728572  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:46:55.733912  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:47:24.318892  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:47:25.734035  101540 writer.go:57] Run(): period refresh
I1002 23:47:25.734049  101540 writer.go:67] pollNicStatus()
I1002 23:47:25.734053  101540 utils.go:35] DiscoverSriovDevices
I1002 23:47:25.770963  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:47:25.776772  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:47:54.319041  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:47:55.777044  101540 writer.go:57] Run(): period refresh
I1002 23:47:55.777083  101540 writer.go:67] pollNicStatus()
I1002 23:47:55.777096  101540 utils.go:35] DiscoverSriovDevices
I1002 23:47:55.809654  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:47:55.814630  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:48:24.321376  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:48:25.814906  101540 writer.go:57] Run(): period refresh
I1002 23:48:25.814930  101540 writer.go:67] pollNicStatus()
I1002 23:48:25.814934  101540 utils.go:35] DiscoverSriovDevices
I1002 23:48:25.845515  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:48:25.850722  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:48:54.320250  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:48:55.850896  101540 writer.go:57] Run(): period refresh
I1002 23:48:55.850918  101540 writer.go:67] pollNicStatus()
I1002 23:48:55.850922  101540 utils.go:35] DiscoverSriovDevices
I1002 23:48:55.884861  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:48:55.890625  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:49:24.320600  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:49:25.890846  101540 writer.go:57] Run(): period refresh
I1002 23:49:25.890881  101540 writer.go:67] pollNicStatus()
I1002 23:49:25.890885  101540 utils.go:35] DiscoverSriovDevices
I1002 23:49:25.921723  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:49:25.927582  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:49:54.320933  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:49:55.928469  101540 writer.go:57] Run(): period refresh
I1002 23:49:55.928487  101540 writer.go:67] pollNicStatus()
I1002 23:49:55.928493  101540 utils.go:35] DiscoverSriovDevices
I1002 23:49:55.953817  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:49:55.959642  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:50:24.321139  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:50:25.959840  101540 writer.go:57] Run(): period refresh
I1002 23:50:25.959889  101540 writer.go:67] pollNicStatus()
I1002 23:50:25.959893  101540 utils.go:35] DiscoverSriovDevices
I1002 23:50:25.985034  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:50:25.991272  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:50:54.321660  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:50:55.991436  101540 writer.go:57] Run(): period refresh
I1002 23:50:55.991481  101540 writer.go:67] pollNicStatus()
I1002 23:50:55.991494  101540 utils.go:35] DiscoverSriovDevices
I1002 23:50:56.024658  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:50:56.030107  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:51:24.321776  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:51:26.030251  101540 writer.go:57] Run(): period refresh
I1002 23:51:26.030279  101540 writer.go:67] pollNicStatus()
I1002 23:51:26.030283  101540 utils.go:35] DiscoverSriovDevices
I1002 23:51:26.065604  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:51:26.070947  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:51:54.321962  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:51:56.071626  101540 writer.go:57] Run(): period refresh
I1002 23:51:56.071643  101540 writer.go:67] pollNicStatus()
I1002 23:51:56.071647  101540 utils.go:35] DiscoverSriovDevices
I1002 23:51:56.117881  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:51:56.123534  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:52:24.322229  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:52:26.123736  101540 writer.go:57] Run(): period refresh
I1002 23:52:26.123752  101540 writer.go:67] pollNicStatus()
I1002 23:52:26.123756  101540 utils.go:35] DiscoverSriovDevices
I1002 23:52:26.156432  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:52:26.162349  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:52:54.322472  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:52:56.162582  101540 writer.go:57] Run(): period refresh
I1002 23:52:56.162602  101540 writer.go:67] pollNicStatus()
I1002 23:52:56.162606  101540 utils.go:35] DiscoverSriovDevices
